MensajerosDeLaPaz;GEI/GEB/BioGEI;pedrito99-AlexSmith01-Carlos2001-marcoA93-LuciaSanz21-LauraMendez32;12-3-2018/19-1-2018/17-10-2020/10-5-2006/8-10-2020/17-10-2016;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;marcoA93-LuciaSanz21-LauraMendez32
ManosUnidas;GEB/DG GEB-GESST/BioGEI;marcoA93-ana20Ferrer-Carlos2001-ManuelOrtega43-LauraRamirez66-CarmenRamirez90-BeatrizSantos99-MiguelGonzalez45;6-10-2022/17-3-2020/19-3-2021/9-12-2005/17-5-2020/9-10-2023/15-4-2015/14-5-2016;11-12-2024/1-11-2023/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;CarmenRamirez90-BeatrizSantos99-MiguelGonzalez45
PuentesDeEsperanza;DG GEB-GESST/BioGEI/GEI/GEB;danielC20-ManuelOrtega43-saraaaalaaa-JuliaDiaz93-LuciaSanz21-SandraDiaz87-AnaGarcia12;19-1-2005/30-1-2021/21-1-2023/20-10-2010/20-10-2019/17-10-2023/18-5-2021;1-1-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;LuciaSanz21-SandraDiaz87-AnaGarcia12
FuturoVerde;DG GEB-GESST/GEI/GEB;SofiaCano99-pedrito99-Carlos2001-MariaGonzalez12-LauraMendez32;15-1-2015/14-3-2006/25-6-2022/20-10-2012/17-4-2010;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;pedrito99-MariaGonzalez12-LauraMendez32
SalvemosElMar;GEI/GEB/BioGEI/GESST;CarmenLopez11-Alberto12-TeresaMolina78-MiguelOrtega45-RafaelOrtega65;4-11-2020/16-2-2003/16-12-2020/9-2-2023/10-12-2022;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;Alberto12-MiguelOrtega45-RafaelOrtega65
RedSolidaria;BioGEI/GEI/GEB;RaulGomez21-TeresaH88-Lucas44-RafaelSanz01-AnaGarcia12-CristinaPerez34;1-3-2020/22-5-2007/15-1-2023/20-1-2002/18-5-2016/14-5-2006;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;Lucas44-AnaGarcia12-CristinaPerez34
AccionSolidaria;GEI/BioGEI/GESST;JuliaPerez76-MiguelGarcia65-TeresaH88-MiguelLopez45-BeatrizSantos99-JorgeRamirez78-CarlaSanz21;9-7-2019/19-1-2015/11-11-2017/9-9-2009/19-10-2017/21-10-2018/21-8-2018;11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;BeatrizSantos99-JorgeRamirez78-CarlaSanz21
CorazonesAbiertos;GEI/BioGEI/DG GEB-GESST;AlexSmith01-pedrito99-JuliaDiaz93-CarmenGarcia90-MiguelGonzalez45-SandraDiaz87-FernandoMartin65;18-9-2021/11-9-2008/31-1-2017/20-10-2005/12-11-2013/20-2-2015/21-4-2019;99-99-9999/11-12-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;MiguelGonzalez45-SandraDiaz87-FernandoMartin65
SonrisasParaTodos;GEB/GEI/GESST;marcoA93-CarlosLopez12-Ana20Ferrer-LuciaRamirez34-CristinaRamirez21-PabloHernandez54-RafaelOrtega65;1-12-2009/15-9-2021/02-5-2023/20-5-2001/15-2-2010/8-5-2005/14-5-2016;11-12-2024/1-11-2023/99-99-9999/99-99-9999/99-99-9999/99-99-9999/99-99-9999;LuciaRamirez34-PabloHernandez54-RafaelOrtega65
EsperanzaViva;GESST/GEB/BioGEI/DG GEB-GESST;santiGomez99-Miguel21Perez-ElenaPerez45-LauraA23-CarmenRamirez90;17-8-2015/22-11-2014/16-3-2005/30-2-2002/7-8-2010;1-1-2024/99-99-9999/99-99-9999/99-99-9999/99-99-9999;Miguel21Perez-ElenaPerez45-LauraA23
